Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Genre_mean_rating,Director_encoded,Actor1_encoded,Actor2_encoded,Actor3_encoded
Chanda Aur Bijli,1969.0,137.0,Drama,4.8,16.0,Atma Ram,Sanjeev Kumar,Padmini,Jeevan,6.271282051282052,5.763636363636364,6.58,6.333333333333333,6.2
Chandaal Atma,1999.0,129.0,Horror,4.6,9.0,S.R. Pratap,Aparna,Rakesh Bedi,Sudhir Dalvi,4.68655462184874,4.1,4.6,5.357142857142857,5.375
Chandan Ka Palna,1967.0,166.0,Drama,6.7,43.0,Ismail Memon,Meena Kumari,Dharmendra,Mehmood,6.271282051282052,6.550000000000001,6.8999999999999995,6.275,6.54
Chandanachi Choli Anga Anga Jali,1975.0,140.0,Drama,6.3,10.0,Shantaram Rajaram Vankudre,Ramesh Deo,Bhalchandra Kulkarni,Govind Kulkarni,6.271282051282052,6.617647058823529,6.3,6.3,6.3
Chandidas,1934.0,128.0,Drama,6.6,5.0,Nitin Bose,K.L. Saigal,Umasashi,Pahadi Sanyal,6.271282051282052,6.466666666666667,6.716666666666666,6.6,6.6
Chandni,1989.0,186.0,Drama,6.8,1657.0,Yash Chopra,Sridevi,Rishi Kapoor,Vinod Khanna,6.271282051282052,6.955,5.922222222222222,6.3428571428571425,6.083333333333333
Chandni Bar,2001.0,150.0,Crime,7.6,2486.0,Madhur Bhandarkar,Tabu,Atul Kulkarni,Rajpal Yadav,6.17,6.1000000000000005,5.557142857142857,6.300000000000001,5.699999999999999
Chandra,1948.0,207.0,Drama,6.9,39.0,S.S. Vasan,Rajkumari,M.K. Radha,Ranjan,6.271282051282052,6.6499999999999995,6.9,6.9,6.9
Chandra Mukhi,1993.0,152.0,Comedy,4.0,676.0,Debaloy Dey,Maya Alagh,Tinnu Anand,Mohnish Bahl,5.838155136268345,3.15,5.3999999999999995,3.233333333333333,5.3
Chandrahas,2007.0,136.0,Action,4.3,26.0,Shiva Shakti Datta,Abbas,Abhinayasri,Sharat Babu,5.543406229290921,4.3,5.133333333333333,4.3,4.3
Chandrasena,1935.0,136.0,Adventure,4.1,11.0,Shantaram Rajaram Vankudre,Nalini Tarkhad,Sureshbabu Mane,Rajani,6.188,6.617647058823529,3.5999999999999996,4.1,4.1
Chandrawal,1984.0,109.0,Drama,8.3,39.0,Jayant Prabhakar,Usha Sharma,Jagat Singh Jakhar,Raju Maan,6.271282051282052,8.3,8.3,8.3,8.3
Chandu,2002.0,136.0,Romance,6.9,70.0,P.A. Arun Prasad,Sudeep,Sonia Agarwal,Srinath,5.624503311258278,5.75,5.9,6.0,6.9
Changez Khan,1957.0,135.0,Action,7.1,20.0,Kedar Kapoor,Prem Nath,Bina Rai,Sheikh Mukhtar,5.543406229290921,6.566666666666666,6.0,6.275,7.1
Chann Pardesee,1980.0,147.0,Drama,8.1,60.0,Chitraarth,Raj Babbar,Rama Vij,Kulbhushan Kharbanda,6.271282051282052,8.1,5.78421052631579,8.1,6.2
Char Diwari,1961.0,136.0,Drama,6.7,24.0,Krishan Chopra,Shashi Kapoor,Nanda,Manmohan Krishna,6.271282051282052,6.25,6.313513513513513,6.6066666666666665,6.5
Char Paise,1955.0,118.0,Action,5.6,11.0,N.K. Ziree,Shyama,Kishore Kumar,Agha,5.543406229290921,5.6,6.324999999999999,6.325,6.716666666666666
Charandas Chor,1975.0,156.0,Drama,8.0,44.0,Shyam Benegal,Lalu Ram,Madan Lal,Babu Das,6.271282051282052,7.25,8.0,8.0,8.0
Charas,1976.0,159.0,Action,6.5,176.0,Ramanand Sagar,Dharmendra,Hema Malini,Ajit,5.543406229290921,6.65,5.924691358024691,6.2318181818181815,6.4750000000000005
Charitraheen,1974.0,100.0,Drama,7.1,58.0,Shakti Samanta,Sharmila Tagore,Sanjeev Kumar,Yogeeta Bali,6.271282051282052,6.64375,5.86,6.673913043478261,6.56
Charlie Kay Chakkar Mein,2015.0,102.0,Thriller,4.5,159.0,Manish Srivastav,Naseeruddin Shah,Nishant Lal,Disha Arora,5.382558139534884,3.6,6.185365853658537,4.5,4.5
Chase,2010.0,103.0,Action,4.9,87.0,Jag Mundhra,Anuj Saxena,Udita Goswami,Tarina Patel,5.543406229290921,5.0,4.9,4.3500000000000005,4.9
Chashme Baddoor,2013.0,121.0,Comedy,5.4,4981.0,David Dhawan,Ali Zafar,Siddharth,Divyendu Sharma,5.838155136268345,5.258333333333334,5.825,6.550000000000001,6.25
